Revision, Author, Date, # Lines Comment Files Changed
1491428,Thomas,"2015-07-13 16:12:14 +0100 (Mon, 13 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/version.properties
1491435,Thomas,"2015-07-13 16:17:26 +0100 (Mon, 13 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle
1491442,Thomas,"2015-07-13 16:22:25 +0100 (Mon, 13 Jul 2015),"Changed paths:D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/nab/receiver/GoogleAccountsReceiver.javaD /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/nab/receiver/JioBroadcastReceiver.java
1491445,Thomas,"2015-07-13 16:29:13 +0100 (Mon, 13 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/application/SyncDriveModule.java
1491802,Jimmy,"2015-07-14 12:25:40 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AbstractAtpAuthActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java
1491856,Jimmy,"2015-07-14 13:42:45 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/manifest/project-specific-metadata-components.txt
1491858,Jimmy,"2015-07-14 13:49:51 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/BaInstalledHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/FragmentAlbumHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/MenuInflaterWrapper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/ShareOptionsHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/SyncAllNowMenuHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/util/WifiAnalyser.java
1491866,Jimmy,"2015-07-14 14:06:22 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/AppRecommendationPopulator.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/DataCollectionPopulator.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/MCTNetworkService.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/receiver/LogoutReceiver.java
1491875,Jimmy,"2015-07-14 14:18:59 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/utils/WifiApControl.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/utils/WifiDirectUtils.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/vouchers/MctVoucherEntryActivity.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/vouchers/VoucherHandler.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/xml/XmlApprecomendationParser.java
1491892,Jimmy,"2015-07-14 14:40:44 +0100 (Tue, 14 Jul 2015),"Changed paths:M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/AbstractNsd.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdHelper.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdHelperMCT.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/NsdSourceDevice.javaM /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/p2p/nsd/WiFiP2pService.java
